篓簍
卢盧
娄婁
掳擄
滩灘
炉爐
颅顱
驴驢
谈談
赂賂
台臺
台檯
台颱
台台
芦蘆
禄祿
搂摟
庐廬
陇隴
垄壟
拢攏
楼樓
卤滷
卤鹵
侪儕
职職
执執
只只
只隻
只祇
纸紙
志志
志誌
挚摯
㤘㥮
玚瑒
觍覥
阘闒
鸴鷽
阇闍
鸮鴞
硚礄
唡啢
觃覎
阓闠
鸰鴒
襕襴
篯籛
蟏蠨
闿闓
鸧鶬
䙌䙡
瘆瘮
硙磑
锧鑕
霡霢
馌饁
鳣鱣
㘎㘚
闬閈
鸤鳲
䜣訢
䜩讌
䞍䝼
䥺釾
䥽鏺
䦂䥇
䦃鐯
䦅鐥
䦆钁
䦶䦛
䦷䦟
䲟鮣
䲠鰆
䲡鰌
䲢鰧
䲣䱷
䴓鳾
䴔鵁
䴕鴷
䴖鶄
䴗鶪
䴘鷈
䴙鷿
䶮龑
万萬
万万
与與
丑醜
丑丑
丛叢
东東
丝絲
丢丟
两兩
严嚴
丧喪
个個
个箇
丰豐
丰丰
临臨
丽麗
举舉
义義
乌烏
乐樂
乔喬
乡鄉
书書
买買
乱亂
了了
了瞭
争爭
于於
于于
亏虧
云雲
云云
亚亞
产產
亲親
亵褻
亸嚲
亿億
仅僅
仆僕
仆仆
仇仇
仇讎
从從
仑侖
仑崙
仓倉
仪儀
们們
价價
价价
仿仿
仿彷
众衆
优優
伙夥
伙伙
会會
伛傴
伞傘
传傳
伡俥
伣俔
伤傷
伥倀
伦倫
伧傖
伫佇
体體
余餘
余余
佛佛
佛彿
佥僉
侠俠
侣侶
侥僥
侦偵
侧側
侨僑
侩儈
侬儂
俊俊
俊儁
俣俁
俦儔
俨儼
俩倆
俪儷
俭儉
修修
修脩
借借
借藉
倾傾
偬傯
偻僂
偾僨
偿償
傥儻
傧儐
储儲
傩儺
僵僵
僵殭
儿兒
克克
克剋
兑兌
兖兗
党黨
党党
兰蘭
关關
兴興
兹茲
养養
兽獸
冁囅
内內
冈岡
册冊
军軍
冬冬
冬鼕
冯馮
冲衝
冲沖
决決
况況
冻凍
净淨
凄悽
凄淒
准準
准准
凉涼
凌凌
凌淩
减減
凑湊
凛凜
几幾
几几
几機
凤鳳
凫鳧
凭憑
凯凱
凶兇
凶凶
出出
出齣
击擊
凿鑿
刍芻
划劃
划划
刘劉
则則
刚剛
创創
删刪
别別
别彆
刭剄
刮刮
刮颳
制制
制製
刹剎
刽劊
刿劌
剀剴
剂劑
剐剮
剑劍
剥剝
剧劇
办辦
务務
劢勱
动動
励勵
劲勁
劳勞
势勢
勋勳
勚勩
匀勻
匦匭
匮匱
区區
升升
升昇
华華
单單
卖賣
卜卜
卜蔔
卧臥
卫衛
却卻
卷卷
卷捲
卺巹
厂廠
厂厂
厅廳
历歷
历曆
厉厲
压壓
厌厭
厍厙
厐龎
厕廁
厘釐
厘厘
厢廂
厣厴
厦廈
厨廚
厩廄
厮廝
县縣
叁叄
参參
参蔘
叆靉
双雙
发發
发髮
变變
叙敘
叠疊
号號
叹嘆
叹歎
叽嘰
吁籲
吁吁
合合
合閤
吊吊
吊弔
同同
同衕
后後
后后
向向
向嚮
向曏
吓嚇
吕呂
吗嗎
吣唚
吨噸
听聽
启啓
吴吳
呐吶
呒嘸
呓囈
呖嚦
呗唄
呙咼
呜嗚
周周
周週
周賙
咏詠
咙嚨
咛嚀
咝噝
咤吒
咨諮
咨咨
咸鹹
咸咸
咽咽
咽嚥
哄哄
哄鬨
响響
哑啞
哒噠
哓嘵
哔嗶
哕噦
哗譁
哗嘩
哙噲
哜嚌
哝噥
唇脣
唛嘜
唠嘮
唢嗩
唤喚
啧嘖
啬嗇
啭囀
啮齧
啯嘓
啰囉
啴嘽
喷噴
喽嘍
喾嚳
嗫囁
嗳噯
嘘噓
嘤嚶
嘱囑
噜嚕
噪噪
噪譟
嚣囂
回回
回迴
团團
团糰
园園
困困
困睏
囱囪
囵圇
国國
图圖
圣聖
圹壙
场場
坂阪
坏壞
坐坐
坐座
块塊
坚堅
坛壇
坛罈
坜壢
坝壩
坞塢
坟墳
坠墜
垅壠
垆壚
垒壘
垦墾
垩堊
垫墊
垭埡
垯墶
垱壋
垲塏
垴堖
埘塒
埙塤
埚堝
埯垵
堕墮
壮壯
声聲
壳殼
壶壺
壸壺
处處
备備
复復
复複
复覆
够夠
夫夫
夫伕
头頭
夸誇
夸夸
夹夾
夺奪
奁奩
奂奐
奋奮
奖獎
奥奧
奸奸
奸姦
妆妝
妇婦
妈媽
妩嫵
妪嫗
妫嬀
姗姍
姜姜
姜薑
姹奼
娅婭
娆嬈
娇嬌
娈孌
娘娘
娘孃
娱娛
娲媧
娴嫻
婵嬋
婶嬸
媪媼
媭嬃
嫒嬡
嫔嬪
嫱嬙
嬷嬤
孙孫
学學
孪孿
宁寧
宁甯
宝寶
实實
宠寵
审審
宪憲
宫宮
家家
家傢
宽寬
宾賓
寝寢
对對
寻尋
导導
寿壽
将將
尔爾
尘塵
尝嘗
尝嚐
尴尷
尸屍
尸尸
尽盡
尽儘
局局
局侷
层層
屃屓
屉屜
届屆
属屬
屡屢
屦屨
屿嶼
岁歲
岂豈
岖嶇
岗崗
岘峴
岙嶴
岚嵐
岛島
岩巖
岩岩
岭嶺
岳嶽
岳岳
岽崬
岿巋
峄嶧
峡峽
峤嶠
峥崢
峦巒
峰峯
崂嶗
崃崍
崄嶮
嵘嶸
嵚嶔
嵝嶁
巅巔
巨巨
巨鉅
巩鞏
巯巰
币幣
布布
布佈
帅帥
师師
帏幃
帐帳
帘簾
帘帘
帜幟
带帶
帧幀
帮幫
帱幬
帻幘
帼幗
幂冪
幞襆
干幹
干乾
干干
并並
并併
幸幸
幸倖
广廣
广广
庄莊
庆慶
床牀
庑廡
库庫
庙廟
庞龐
废廢
庵庵
庵菴
廪廩
开開
异異
弃棄
弑弒
张張
弥彌
弥瀰
弦弦
弦絃
弪弳
弯彎
弹彈
归歸
当當
当噹
彝彝
彟彠
彦彥
彨彲
彩彩
彩綵
彻徹
征徵
征征
径徑
徕徠
御御
御禦
忆憶
忏懺
忧憂
念念
念唸
忾愾
怀懷
态態
怂慫
怃憮
怄慪
怅悵
怆愴
怜憐
总總
怼懟
怿懌
恋戀
恒恆
恤恤
恤卹
恳懇
恶惡
恶噁
恸慟
恹懨
恺愷
恻惻
恼惱
恽惲
悦悅
悫愨
悬懸
悭慳
悮悞
悯憫
惊驚
惧懼
惨慘
惩懲
惫憊
惬愜
惭慚
惮憚
惯慣
愈愈
愈癒
愠慍
愤憤
愦憒
慑懾
懑懣
懒懶
懔懍
戆戇
戋戔
戏戲
戗戧
戚戚
戚慼
戚鏚
戬戩
戯戱
户戶
才才
才纔
扎扎
扎紮
扑撲
托託
托托
扣扣
扣釦
扩擴
扪捫
扫掃
扬揚
扰擾
折折
折摺
抚撫
抛拋
抟摶
抠摳
抡掄
抢搶
护護
报報
抬擡
抵抵
抵牴
担擔
拐拐
拐柺
拟擬
拣揀
拦攔
拨撥
择擇
挂掛
挂挂
挛攣
挜掗
挝撾
挞撻
挠撓
挡擋
挢撟
挣掙
挤擠
挥揮
挦撏
挨挨
挨捱
挽挽
挽輓
捝挩
捞撈
损損
捡撿
换換
捣搗
据據
据据
掴摑
掷擲
掸撣
掺摻
掼摜
揽攬
揿撳
搀攙
搁擱
搅攪
搜搜
搜蒐
摄攝
摅攄
摆擺
摆襬
摈擯
摊攤
撄攖
撑撐
撵攆
撷擷
撸擼
撺攛
擞擻
攒攢
敌敵
教教
敛斂
敩斆
数數
斓斕
斗鬥
斗斗
断斷
无無
旧舊
时時
旷曠
昆昆
昆崑
昙曇
昼晝
显顯
晋晉
晒曬
晓曉
晔曄
晕暈
晖暉
暂暫
暗暗
暗闇
暧曖
曲曲
曲麴
术術
术朮
朱朱
朱硃
朴樸
朴朴
机機
杀殺
杂雜
杆杆
杆桿
杠槓
杠杠
条條
来來
杨楊
杩榪
杯杯
杯盃
杰傑
杰杰
松鬆
松松
板板
板闆
极極
极极
构構
枞樅
枢樞
枣棗
枥櫪
枧梘
枨棖
枫楓
枭梟
柜櫃
柜柜
柠檸
查查
柽檉
栀梔
标標
栉櫛
栊櫳
栋棟
栌櫨
栎櫟
栏欄
树樹
栖棲
栗慄
栗栗
样樣
核核
核覈
栾欒
桠椏
桡橈
桢楨
档檔
桤榿
桥橋
桦樺
桧檜
桨槳
桩樁
梁樑
梁梁
梦夢
梼檮
梾棶
梿槤
检檢
棁梲
棂欞
棱棱
椁槨
椝槼
椟櫝
椠槧
椢槶
椤欏
椫樿
椭橢
榄欖
榇櫬
榈櫚
榉櫸
槚檟
槛檻
槟檳
槠櫧
横橫
樯檣
橥櫫
橱櫥
橹櫓
橼櫞
檩檁
欢歡
欤歟
欲欲
欲慾
歼殲
殁歿
殇殤
残殘
殒殞
殓殮
殚殫
殡殯
毁毀
毁燬
毁譭
毂轂
毕畢
毙斃
毵毿
氇氌
气氣
氢氫
氩氬
氲氳
汇匯
汇彙
汉漢
污污
汤湯
汹洶
沈沈
沈瀋
沟溝
沣灃
沥瀝
沦淪
沧滄
沩潙
沪滬
泛泛
泛氾
泛汎
泪淚
泶澩
泷瀧
泸瀘
泺濼
泼潑
泽澤
泾涇
洁潔
洒灑
洼窪
浃浹
浆漿
浇澆
